,origin,origin_delay
0,ACK,3
1,XWA,3
2,EAR,3
3,BLV,3
4,HGR,3
5,SHD,3
6,RHI,3
7,PAH,3
8,JMS,3
9,CMX,3
10,EGE,3
11,CKB,3
12,PQI,3
13,DVL,3
14,HOB,3
15,LAR,3
16,MKK,3
17,DLG,3
18,APN,3
19,BKG,3
20,ABI,3
21,RFD,3
22,EAU,3
23,BJI,3
24,SHV,3
25,DLH,3
26,SLN,3
27,ADK,3
28,PSE,3
29,JAC,3
30,DIK,3
31,SAF,3
32,JLN,3
33,ACV,3
34,LRD,3
35,EKO,3
36,TTN,3
37,FSD,3
38,HTS,3
39,GCC,3
40,LAN,3
41,LCK,3
42,GST,3
43,MKG,3
44,SBY,3
45,PIR,3
46,EWR,3
47,GSO,3
48,JAN,3
49,SBA,3
50,TVC,3
51,AVP,3
52,LWB,3
53,SGF,3
54,HPN,3
55,SCK,3
56,GTR,3
57,LNY,3
58,MHK,3
59,MQT,3
60,CGI,3
61,ABE,3
62,AZO,3
63,AGS,3
64,BIS,3
65,CAK,3
66,BOS,3
67,LBL,3
68,ITH,3
69,FAR,3
70,ALW,3
71,PBI,3
72,OAJ,3
73,MGM,3
74,LSE,3
75,JFK,3
76,HOU,3
77,BUF,3
78,IAD,3
79,MCO,3
80,PLN,3
81,ROA,3
82,COS,3
83,BMI,3
84,CRW,3
85,MDT,3
86,EUG,3
87,ORD,3
88,MDW,3
89,PHF,3
90,PUW,3
91,RDD,3
92,HRL,3
93,DEN,2
94,SBN,2
95,ASE,2
96,LGA,2
97,SDF,2
98,CYS,2
99,MAF,2
100,RDU,2
101,LEX,2
102,GRK,2
103,DAL,2
104,DFW,2
105,DUT,2
106,BPT,2
107,SBP,2
108,ECP,2
109,PGV,2
110,PWM,2
111,FLL,2
112,SFO,2
113,ROC,2
114,MSY,2
115,MLI,2
116,MIA,2
117,ORF,2
118,GRB,2
119,MEM,2
120,MBS,2
121,DCA,2
122,RST,2
123,BHM,2
124,BTV,2
125,BNA,2
126,SWF,2
127,FLO,2
128,EWN,2
129,IAH,2
130,CVG,2
131,MSN,2
132,RIC,2
133,SJU,2
134,SGU,2
135,CHS,2
136,SFB,2
137,BZN,2
138,SPN,2
139,TPA,2
140,PHL,2
141,TYS,2
142,SUX,2
143,TWF,2
144,ELP,2
145,MOT,2
146,VEL,2
147,MLU,2
148,BWI,2
149,LAS,2
150,RDM,2
151,STL,2
152,PVD,2
153,LBB,2
154,RSW,2
155,PNS,2
156,AUS,2
157,DTW,2
158,IAG,2
159,GRR,2
160,CLT,2
161,TRI,2
162,MYR,2
163,GSP,2
164,GUC,2
165,BQN,2
166,PHX,2
167,SAN,2
168,MFR,2
169,BUR,2
170,OAK,2
171,AVL,2
172,SAV,2
173,FWA,2
174,TYR,2
175,CHA,2
176,ABQ,2
177,EAT,2
178,JAX,2
179,ATL,2
180,MSP,2
181,LYH,2
182,DSM,2
183,MVY,2
184,FNT,2
185,CLE,1
186,DRO,1
187,SYR,1
188,CMH,1
189,SCE,1
190,SRQ,1
191,MMH,1
192,SAT,1
193,CID,1
194,RAP,1
195,TUS,1
196,OKC,1
197,TUL,1
198,STT,1
199,BRO,1
200,SJT,1
201,RNO,1
202,PIB,1
203,SMX,1
204,LAX,1
205,XNA,1
206,SEA,1
207,LFT,1
208,BGR,1
209,MTJ,1
210,SJC,1
211,ALB,1
212,DBQ,1
213,OMA,1
214,COD,1
215,ISP,1
216,SLC,1
217,OTH,1
218,CHO,1
219,PSP,1
220,BRD,1
221,GPT,1
222,MKE,1
223,EVV,1
224,SNA,1
225,BDL,1
226,SMF,1
227,USA,1
228,ILM,1
229,GNV,1
230,PIT,1
231,CSG,1
232,IND,1
233,MCI,1
234,CAE,1
235,CIU,1
236,ICT,1
237,HSV,1
238,LWS,1
239,TOL,1
240,COU,1
241,PIA,1
242,VLD,1
243,FAT,1
244,MHT,1
245,ATW,1
246,BTR,1
247,MOB,1
248,HDN,1
249,AMA,1
250,STS,1
251,CWA,1
252,GFK,1
253,DAY,1
254,LNK,1
255,ERI,1
256,ESC,1
257,FCA,1
258,AZA,1
259,EYW,1
260,ORH,1
261,OGG,1
262,LGB,1
263,CPR,1
264,GCK,1
265,VPS,1
266,MLB,1
267,ABR,1
268,MSO,1
269,IDA,1
270,SPS,1
271,AKN,1
272,PDX,1
273,OGD,1
274,CRP,1
275,PSM,1
276,LIT,1
277,STC,1
278,TLH,1
279,BIL,1
280,FAY,1
281,HHH,0
282,GRI,0
283,ONT,0
284,IFP,0
285,LBE,0
286,DAB,0
287,PIE,0
288,PSC,0
289,PPG,0
290,BOI,0
291,GEG,0
292,HNL,0
293,BFL,0
294,BQK,0
295,CLL,0
296,BFF,0
297,GGG,0
298,LIH,0
299,PAE,0
300,CMI,0
301,SPI,0
302,PVU,0
303,GTF,0
304,ACT,0
305,TXK,0
306,PGD,0
307,MRY,0
308,YKM,0
309,SUN,0
310,DHN,0
311,KOA,0
312,MFE,0
313,ACY,0
314,FSM,0
315,ANC,0
316,ELM,0
317,AEX,0
318,WYS,0
319,KTN,0
320,CDC,0
321,PBG,0
322,GJT,0
323,BLI,0
324,GUM,0
325,STX,0
326,LCH,0
327,HIB,0
328,OWB,0
329,UIN,0
330,JNU,0
331,FLG,0
332,ATY,0
333,FAI,0
334,CNY,0
335,ITO,0
336,MEI,0
337,OGS,0
338,ART,0
339,LAW,0
340,SWO,0
341,DRT,0
342,ROW,0
343,PUB,0
344,HLN,0
345,YUM,0
346,BGM,0
347,BET,0
348,ISN,0
349,HVN,0
350,HYS,0
351,ABY,0
352,INL,0
353,RKS,0
354,OME,0
355,PRC,0
356,PIH,0
357,JHM,0
358,IPT,0
359,PSG,0
360,ALO,0
361,ADQ,0
362,LBF,0
363,WRG,0
364,SIT,0
365,SCC,0
366,IMT,0
367,BTM,0
368,BRW,0
369,ROP,0
370,OTZ,0
371,CDV,0
372,HYA,0
373,YAK,0
374,BFM,0
